[Header]
TITLE,20201219-Sample 4.9mg.Dat
BYAPP,HeatCapacity,3.9.6,1.7
INFO,4.9,MASS:Sample Mass (mg)
INFO,,MASSERR:Sample Mass Error (mg)
INFO,,MOLWGHT:Formula Weight (g/mole)
INFO,,ATOMS:Atoms per Formula Unit
INFO,PPMS Heat Capacity Option 3.9.6 Build 3,APPNAME
DATATYPE,TIME,1
DATATYPE,COMMENT,2
STARTUPAXIS, X, 8, LINEAR, AUTO
STARTUPAXIS, Y1, 10, LINEAR, AUTO
[Data]
Time Stamp (Seconds),Comment (),System Status (Code),Puck Temp (Kelvin),System Temp (Kelvin),Field (Oersted),Pressure (Torr),Sample Temp (Kelvin),Temp Rise (Kelvin),Samp HC (µJ/K),Samp HC Err (µJ/K),Addenda HC (µJ/K),Addenda HC Err (µJ/K),Total HC (µJ/K),Total HC Err (µJ/K),Fit Deviation (ChiSquare),Time Const tau1 (seconds),Time Const tau2 (seconds),Sample Coupling (Percent),Debye Temp (Kelvin),Debye Temp Err (Kelvin),Cal Correction (Factor),Therm Resist (Ohms),Htr Resist (Ohms),Puck Resist (Ohms),Wire Cond (W/K),Meas Time (seconds),Temp Squared (K^2),Samp HC/Temp (µJ/K/K),Addenda Offset HC (µJ/K)
3817586846.46318,,1857,16.4384,16.4384,0.10920681,9.8999999E-6,16.452335,0.33089507,70.492561,0.1376,76.303104,0.07531,146.79566,0.1376,2.0831762,7.6256413,0.23307086,88.483415,,,1,,,,1.9846845E-5,15.207571,270.67931,4.284654,0
3817587041.6786,,1857,14.8694,14.8694,0.10920681,9.8999999E-6,14.899277,0.30354704,64.881902,0.1624,61.715024,0.05619,126.59693,0.1624,0.21021999,7.2369766,0.20699553,89.112393,,,1,,,,1.8071547E-5,15.251283,221.98845,4.3547014,0
3817587108.63209,,1857,14.8694,14.8694,0.14560908,9.8999999E-6,14.884482,0.29568887,65.219192,0.1237,61.602318,0.05605,126.82151,0.1237,1.1454655,7.3600555,0.2156208,88.854015,,,1,,,,1.7820548E-5,14.473953,221.54782,4.3816903,0
3817587176.27772,,1857,14.8695,14.8695,0.10920681,9.8999999E-6,14.881988,0.29896743,65.241144,0.1156,61.58474,0.05603,126.82588,0.1156,3.4184176,7.3837942,0.21699322,88.820142,,,1,,,,1.7766296E-5,14.720111,221.47356,4.3838998,0
3817587353.49691,,1857,13.4505,13.4505,0.16987726,9.8999999E-6,13.4771,0.2695182,62.043297,0.1557,49.557781,0.04527,111.60108,0.1557,0.15936685,7.1647587,0.19401382,89.438978,,,1,,,,1.6161282E-5,14.767588,181.63223,4.6036088,0
3817587419.69069,,1857,13.4505,13.4505,0.15774317,9.8999999E-6,13.465797,0.26709506,62.272457,0.1119,49.468624,0.04521,111.74108,0.1119,0.93400633,7.2911707,0.20036888,89.27737,,,1,,,,1.5913991E-5,14.329517,181.32769,4.624491,0
3817587486.25185,,1857,13.45,13.45,0.10920681,9.8999999E-6,13.463397,0.26961419,62.352443,0.1036,49.452632,0.0452,111.80508,0.1036,2.6375077,7.3200809,0.20107205,89.279075,,,1,,,,1.5860941E-5,14.582341,181.26306,4.6312563,0
3817587662.81653,,1857,12.1668,12.1668,0.14560908,9.8999999E-6,12.188967,0.24030533,60.574339,0.1312,39.577347,0.03848,100.15169,0.1312,0.23005893,7.2947797,0.18232686,89.791178,,,1,,,,1.4315523E-5,14.640162,148.57091,4.9696041,0
3817587729.9561,,1857,12.1663,12.1663,0.18201135,9.8999999E-6,12.182257,0.24169425,60.75925,0.09824,39.532982,0.03843,100.29223,0.09824,1.3601644,7.4019677,0.18713285,89.664509,,,1,,,,1.4138152E-5,14.589559,148.40738,4.9875202,0
3817587796.87812,,1857,12.1664,12.1664,0.08493863,9.8999999E-6,12.180558,0.24375734,60.795136,0.09616,39.523007,0.03842,100.31814,0.09616,2.9039121,7.4219314,0.18761676,89.663267,,,1,,,,1.4104233E-5,14.803935,148.36599,4.9911618,0
3817587975.35553,,1857,11.0052,11.0052,0.13347499,9.8999999E-6,11.025503,0.21460143,59.90722,0.1104,31.498271,0.02896,91.405491,0.1104,0.32505271,7.577872,0.17179718,90.060383,,,1,,,,1.2647923E-5,14.843863,121.56172,5.4335134,0
3817588043.99132,,1857,11.0054,11.0054,0.12134091,9.8999999E-6,11.023017,0.21963886,60.010627,0.08586,31.475587,0.02895,91.486214,0.08586,1.5996769,7.6537696,0.17356263,90.04877,,,1,,,,1.2535299E-5,15.155744,121.50691,5.4441199,0
3817588113.70837,,1857,11.0057,11.0057,0.14560908,9.8999999E-6,11.021215,0.22070333,60.048214,0.08653,31.46481,0.02894,91.513024,0.08653,3.0217128,7.6665811,0.17361265,90.058874,,,1,,,,1.251773E-5,15.307539,121.46719,5.4484203,0
3817588363.35254,,1857,9.95657,9.95657,0.13347499,9.8999999E-6,9.895642,0.19170104,59.996263,0.2001,24.398392,0.02745,84.394655,0.2001,0.028910885,8.2534797,0.16455254,90.241052,,,1,,,,1.0796209E-5,15.333162,97.92373,6.0628975,0
